"","country","election_year","age","gender","men","education","unemployed","blue_collar","household","rural","gov_perform","diss_dem","diss_econ","democrats","lrself","trust_pol","vote_fn","election"
"153","France",2002,41,"Female",0,3,0,0,7,1,4,8,5,5,9,5,0,"2002"
"154","France",2002,37,"Female",0,5,0,0,8,0,4,7,6,2,4,5,0,"2002"
"155","France",2002,47,"Male",1,3,0,1,7,1,7,9,7,1,6,7,0,"2002"
"157","France",2002,46,"Male",1,3,1,0,9,1,2,6,3,1,2,7,0,"2002"
"158","France",2002,28,"Female",0,5,0,0,7,0,5,8,6,2,7,4,0,"2002"
"160","France",2002,44,"Female",0,3,1,0,3,1,5,9,4,1,4,3,0,"2002"
"161","France",2002,35,"Male",1,2,1,0,6,0,2,5,2,5,9,3,1,"2002"
"164","France",2002,60,"Male",1,3,0,0,7,0,3,11,4,1,3,3,0,"2002"
"166","France",2002,38,"Male",1,3,0,0,7,1,1,1,1,2,6,1,0,"2002"
"167","France",2002,26,"Male",1,3,0,0,7,1,5,4,8,2,6,1,0,"2002"
"170","France",2002,65,"Female",0,3,0,0,3,1,6,8,5,1,6,5,0,"2002"
"174","France",2002,54,"Male",1,1,0,0,8,1,6,10,5,2,7,7,0,"2002"
"175","France",2002,53,"Female",0,3,1,0,7,0,6,8,4,2,8,6,0,"2002"
"176","France",2002,50,"Male",1,3,0,0,12,0,1,1,2,4,5,1,0,"2002"
"177","France",2002,70,"Female",0,2,0,0,9,0,9,2,9,2,9,8,0,"2002"
"178","France",2002,60,"Female",0,3,0,0,4,1,7,9,7,3,7,6,0,"2002"
"179","France",2002,60,"Female",0,2,0,0,4,1,2,5,3,1,4,1,0,"2002"
"183","France",2002,35,"Female",0,3,1,0,5,0,4,7,5,1,5,4,0,"2002"
"184","France",2002,81,"Female",0,5,0,0,9,0,8,10,3,5,7,5,0,"2002"
"186","France",2002,60,"Female",0,1,1,0,6,1,4,7,3,3,9,6,0,"2002"
"190","France",2002,48,"Female",0,2,0,1,5,1,7,8,7,2,6,6,0,"2002"
"191","France",2002,72,"Female",0,3,0,0,7,0,7,11,5,2,3,7,0,"2002"
"194","France",2002,54,"Female",0,2,0,0,10,1,4,10,6,1,3,3,0,"2002"
"195","France",2002,35,"Female",0,3,0,0,6,1,1,7,3,1,4,1,0,"2002"
"196","France",2002,57,"Male",1,3,0,1,5,0,8,8,4,3,10,6,1,"2002"
"200","France",2002,65,"Male",1,1,0,0,2,1,7,9,6,1,6,6,0,"2002"
"201","France",2002,49,"Male",1,5,0,0,8,1,4,6,2,2,10,4,0,"2002"
