"","country","election_year","age","gender","men","education","unemployed","blue_collar","household","rural","gov_perform","diss_dem","diss_econ","democrats","lrself","trust_pol","vote_fn","election"
"1580","France",2002,39,"Female",0,3,0,0,6,1,2,8,4,2,3,3,0,"2002"
"1581","France",2002,34,"Male",1,5,0,0,12,1,4,6,4,1,6,7,0,"2002"
"1585","France",2002,47,"Female",0,5,0,0,9,1,6,10,8,1,8,5,0,"2002"
"1586","France",2002,30,"Male",1,5,0,0,7,1,5,9,7,2,3,5,0,"2002"
"1588","France",2002,45,"Male",1,3,1,0,9,0,5,5,4,1,3,3,0,"2002"
"1590","France",2002,58,"Female",0,3,0,0,10,0,5,10,6,1,9,5,0,"2002"
"1592","France",2002,38,"Male",1,5,0,0,9,0,4,9,5,3,5,5,0,"2002"
"1598","France",2002,61,"Male",1,3,0,1,6,0,5,7,5,5,6,2,0,"2002"
"1599","France",2002,63,"Male",1,3,0,0,6,0,1,9,1,3,1,5,0,"2002"
"1600","France",2002,76,"Male",1,1,1,1,6,1,8,10,7,2,6,5,0,"2002"
"1601","France",2002,48,"Male",1,3,1,1,6,1,5,7,3,1,3,6,0,"2002"
"1604","France",2002,80,"Female",0,1,0,0,2,0,5,6,6,2,5,4,0,"2002"
"1609","France",2002,70,"Male",1,1,1,1,6,0,1,5,4,4,6,1,0,"2002"
"1610","France",2002,51,"Female",0,2,0,0,1,1,3,1,1,3,6,1,0,"2002"
"1611","France",2002,71,"Male",1,3,0,1,6,1,9,9,7,4,10,7,0,"2002"
"1612","France",2002,30,"Male",1,5,1,0,7,0,9,11,9,2,6,8,0,"2002"
"1618","France",2002,81,"Female",0,1,0,0,12,0,8,8,7,2,5,6,0,"2002"
"1619","France",2002,44,"Female",0,3,0,0,5,1,6,6,4,4,11,4,0,"2002"
"1620","France",2002,56,"Male",1,3,0,0,7,0,8,9,5,2,5,4,0,"2002"
"1624","France",2002,35,"Male",1,5,0,0,9,1,4,7,5,1,6,7,0,"2002"
"1626","France",2002,32,"Male",1,5,1,0,7,0,8,2,6,1,8,8,0,"2002"
"1629","France",2002,44,"Female",0,5,1,0,4,0,9,11,8,4,4,8,0,"2002"
"1633","France",2002,54,"Male",1,3,1,0,4,1,6,6,6,3,6,3,1,"2002"
"1635","France",2002,67,"Female",0,1,1,0,4,0,8,5,6,5,3,3,0,"2002"
"1636","France",2002,22,"Female",0,5,1,0,4,0,4,7,3,1,4,3,0,"2002"
"1640","France",2002,77,"Female",0,3,0,0,5,1,5,10,5,3,6,6,0,"2002"
"1647","France",2002,65,"Male",1,3,0,1,6,0,9,11,6,1,9,5,0,"2002"
"1650","France",2002,58,"Male",1,3,1,1,4,0,6,9,4,3,6,6,0,"2002"
"1651","France",2002,41,"Female",0,5,0,0,9,0,6,9,5,2,4,6,0,"2002"
"1653","France",2002,43,"Male",1,5,0,0,7,0,6,10,5,1,4,6,0,"2002"
"1654","France",2002,85,"Female",0,3,0,0,5,1,5,5,3,1,6,1,0,"2002"
"1655","France",2002,55,"Female",0,5,0,0,6,0,6,8,7,3,4,6,0,"2002"
"1659","France",2002,67,"Female",0,2,1,1,5,0,3,3,6,1,2,6,0,"2002"
"1664","France",2002,64,"Female",0,3,1,0,6,1,1,5,3,1,4,3,0,"2002"
"1665","France",2002,76,"Female",0,2,0,0,4,0,4,10,4,1,6,4,0,"2002"
"1668","France",2002,84,"Male",1,1,0,0,5,0,7,9,6,5,7,6,0,"2002"
"1669","France",2002,35,"Female",0,3,0,0,9,1,6,7,7,1,5,6,0,"2002"
"1670","France",2002,32,"Female",0,3,1,0,6,0,1,5,1,2,6,1,0,"2002"
"1671","France",2002,62,"Male",1,5,1,0,9,0,6,11,6,3,9,6,0,"2002"
"1672","France",2002,26,"Female",0,5,1,0,10,0,3,3,6,3,3,6,0,"2002"
"1673","France",2002,70,"Male",1,3,0,0,6,1,6,8,8,1,11,7,0,"2002"
"1674","France",2002,26,"Male",1,5,1,0,7,0,3,9,6,4,4,7,0,"2002"
"1677","France",2002,64,"Male",1,3,0,0,7,0,4,6,4,1,4,4,0,"2002"
"1678","France",2002,54,"Female",0,2,0,0,9,1,4,7,4,1,4,3,0,"2002"
"1680","France",2002,53,"Male",1,3,0,0,9,1,7,8,4,5,7,4,0,"2002"
"1681","France",2002,53,"Male",1,3,0,1,6,0,1,1,2,4,5,3,0,"2002"
"1682","France",2002,56,"Male",1,3,0,0,9,0,5,11,3,3,6,4,0,"2002"
"1683","France",2002,73,"Female",0,3,0,0,5,0,6,6,6,3,6,1,0,"2002"
"1685","France",2002,69,"Male",1,3,0,0,8,0,6,8,5,2,1,3,0,"2002"
"1686","France",2002,86,"Female",0,2,0,1,5,0,1,1,3,2,10,2,0,"2002"
"1688","France",2002,76,"Female",0,2,0,0,9,0,6,11,4,1,9,7,0,"2002"
"1693","France",2002,39,"Female",0,3,1,0,10,0,3,7,3,1,4,5,0,"2002"
"1694","France",2002,41,"Male",1,2,0,1,5,1,1,1,1,4,2,4,0,"2002"
"1698","France",2002,48,"Female",0,3,0,0,9,1,7,11,7,1,6,6,0,"2002"
"1699","France",2002,41,"Male",1,5,1,0,10,0,8,11,8,2,6,6,0,"2002"
"1700","France",2002,28,"Female",0,3,1,0,5,1,8,9,8,2,7,5,1,"2002"
"1704","France",2002,37,"Male",1,5,1,0,5,0,8,10,6,2,7,7,0,"2002"
"1705","France",2002,62,"Female",0,5,0,0,10,1,5,9,7,2,1,4,0,"2002"
"1706","France",2002,22,"Male",1,3,1,0,9,1,5,9,1,1,3,2,0,"2002"
"1707","France",2002,60,"Male",1,1,0,0,1,1,5,6,4,2,6,6,0,"2002"
"1709","France",2002,37,"Male",1,3,1,0,9,1,6,8,6,4,6,6,0,"2002"
"1712","France",2002,58,"Male",1,3,0,0,6,0,6,6,3,1,5,3,0,"2002"
"1714","France",2002,64,"Male",1,1,1,0,5,1,6,9,4,1,8,4,0,"2002"
"1715","France",2002,58,"Female",0,3,0,0,6,0,5,7,4,3,8,3,0,"2002"
"1716","France",2002,57,"Male",1,5,1,0,6,0,6,8,6,5,11,1,1,"2002"
"1725","France",2002,65,"Female",0,5,0,0,7,0,4,6,5,1,8,2,0,"2002"
"1726","France",2002,46,"Female",0,3,1,0,8,1,6,7,6,4,8,3,0,"2002"
"1727","France",2002,56,"Male",1,3,0,1,5,0,4,2,6,5,1,6,0,"2002"
"1728","France",2002,60,"Male",1,2,0,0,5,0,6,8,4,5,3,6,0,"2002"
"1729","France",2002,49,"Male",1,5,1,0,5,0,7,10,6,5,4,7,0,"2002"
"1731","France",2002,32,"Female",0,3,1,0,4,1,5,7,5,3,5,7,0,"2002"
"1737","France",2002,50,"Male",1,5,0,0,10,0,4,6,3,1,3,5,0,"2002"
"1738","France",2002,51,"Female",0,2,0,0,7,0,3,8,3,5,8,3,0,"2002"
"1741","France",2002,66,"Female",0,3,0,1,4,1,3,7,3,1,10,6,0,"2002"
"1742","France",2002,45,"Female",0,3,1,0,8,1,3,5,2,4,5,3,0,"2002"
"1744","France",2002,45,"Male",1,5,1,0,9,1,3,9,4,1,7,6,0,"2002"
"1745","France",2002,33,"Male",1,3,0,0,6,1,8,8,5,2,5,4,0,"2002"
"1747","France",2002,32,"Male",1,3,0,1,6,1,6,8,8,2,8,6,1,"2002"
"1748","France",2002,27,"Female",0,5,0,0,8,0,5,10,7,4,2,5,0,"2002"
"1749","France",2002,61,"Female",0,3,0,0,6,0,4,8,6,1,5,4,0,"2002"
"1751","France",2002,42,"Female",0,3,1,0,6,0,5,7,5,1,4,5,0,"2002"
"1756","France",2002,69,"Male",1,3,0,1,11,1,2,5,1,2,1,1,0,"2002"
"1759","France",2002,39,"Male",1,2,1,1,5,1,6,6,2,4,6,1,1,"2002"
"1761","France",2002,64,"Male",1,1,0,1,2,0,4,8,6,1,7,5,0,"2002"
"1762","France",2002,59,"Female",0,5,0,0,5,1,1,1,1,1,2,4,0,"2002"
"1764","France",2002,55,"Male",1,3,0,0,9,0,4,7,5,1,2,4,0,"2002"
"1766","France",2002,71,"Male",1,1,1,0,6,1,5,11,5,1,8,4,0,"2002"
"1768","France",2002,64,"Male",1,2,0,0,6,0,2,5,6,2,5,3,0,"2002"
"1772","France",2002,40,"Female",0,3,0,0,9,0,5,7,3,2,6,6,1,"2002"
"1774","France",2002,58,"Female",0,2,0,0,5,1,5,8,6,5,7,6,0,"2002"
"1775","France",2002,63,"Male",1,1,0,1,9,1,1,1,1,1,7,1,0,"2002"
"1777","France",2002,54,"Male",1,3,1,0,7,0,6,11,4,1,5,6,0,"2002"
"1780","France",2002,47,"Female",0,5,0,0,8,0,4,6,4,1,4,4,0,"2002"
"1781","France",2002,52,"Female",0,3,0,0,6,1,2,4,2,4,6,2,0,"2002"
"1782","France",2002,33,"Male",1,3,1,0,7,0,1,5,1,2,6,1,0,"2002"
"1784","France",2002,38,"Female",0,5,1,0,9,0,5,7,5,5,5,5,0,"2002"
"1787","France",2002,68,"Male",1,5,0,0,9,0,5,10,5,4,2,9,0,"2002"
"1788","France",2002,44,"Female",0,3,1,0,9,0,5,7,3,2,7,3,0,"2002"
"1789","France",2002,62,"Female",0,1,1,0,5,0,4,6,2,1,1,2,0,"2002"
"1794","France",2002,49,"Male",1,1,1,0,5,0,6,4,1,5,3,6,1,"2002"
"1796","France",2002,78,"Female",0,1,0,1,2,0,5,7,4,1,5,5,0,"2002"
"1801","France",2002,75,"Male",1,3,0,1,5,0,3,5,3,1,3,1,0,"2002"
"1802","France",2002,71,"Female",0,3,0,0,4,0,5,5,3,3,4,5,0,"2002"
"1803","France",2002,40,"Male",1,3,0,0,7,0,5,10,6,4,7,6,0,"2002"
"1805","France",2002,33,"Male",1,3,0,1,4,0,9,11,7,1,8,6,0,"2002"
"1806","France",2002,45,"Female",0,5,1,0,9,0,7,10,6,1,7,4,0,"2002"
"11000","France",2007,67,"Male",1,2,0,0,10,1,7,13,4,1,7,5,0,"2007"
"2100","France",2007,34,"Female",0,5,1,0,6,0,3,7,2,1,7,3,0,"2007"
"7100","France",2007,31,"Male",1,5,0,0,8,0,7,8,5,1,8,5,0,"2007"
"8100","France",2007,45,"Male",1,1,0,0,10,1,7,9,5,1,6,8,0,"2007"
"9100","France",2007,59,"Male",1,3,0,0,2,1,6,10,3,1,6,6,0,"2007"
"10100","France",2007,40,"Male",1,5,1,0,5,0,7,10,8,5,7,8,0,"2007"
"12100","France",2007,53,"Female",0,3,0,0,8,0,10,10,7,5,9,7,0,"2007"
"13100","France",2007,28,"Female",0,3,0,0,7,1,4,6,4,3,6,5,0,"2007"
"17100","France",2007,54,"Male",1,2,0,1,2,0,6,9,4,1,6,8,0,"2007"
"18100","France",2007,43,"Male",1,5,0,0,10,1,4,7,1,4,5,6,0,"2007"
"19100","France",2007,38,"Female",0,2,1,0,3,0,3,4,3,2,11,5,0,"2007"
"2210","France",2007,32,"Male",1,3,1,0,6,0,4,1,1,4,1,2,0,"2007"
"2310","France",2007,45,"Male",1,3,1,0,6,1,6,6,3,1,7,5,0,"2007"
"2410","France",2007,74,"Female",0,2,1,0,4,1,4,9,4,2,6,7,0,"2007"
"2610","France",2007,76,"Female",0,5,0,0,10,1,8,10,6,4,9,9,0,"2007"
"2910","France",2007,55,"Male",1,2,0,0,4,1,6,12,1,5,1,5,0,"2007"
"3110","France",2007,87,"Female",0,2,0,0,8,0,9,11,7,4,7,9,0,"2007"
"3310","France",2007,56,"Female",0,3,0,0,6,0,3,4,3,1,5,2,0,"2007"
"3410","France",2007,53,"Female",0,4,1,0,7,0,8,10,5,4,9,3,0,"2007"
"4010","France",2007,25,"Male",1,5,1,0,4,0,4,8,4,5,5,4,0,"2007"
"4210","France",2007,43,"Male",1,3,0,0,7,1,7,9,4,5,6,5,0,"2007"
"4410","France",2007,64,"Female",0,3,1,0,10,0,9,8,4,3,7,5,0,"2007"
"4710","France",2007,24,"Female",0,5,1,0,3,0,3,9,3,4,4,8,0,"2007"
"4810","France",2007,48,"Male",1,3,0,0,6,0,6,9,5,4,5,4,0,"2007"
"4910","France",2007,53,"Male",1,2,1,0,9,0,9,9,7,2,8,7,0,"2007"
"5010","France",2007,59,"Male",1,3,0,0,9,0,4,8,4,4,7,6,0,"2007"
"5110","France",2007,62,"Female",0,5,0,0,4,1,2,8,6,3,3,6,0,"2007"
"5210","France",2007,55,"Male",1,3,1,0,1,0,8,5,7,1,6,6,0,"2007"
"5510","France",2007,55,"Male",1,3,0,0,2,1,6,8,2,2,9,6,0,"2007"
"5610","France",2007,59,"Male",1,3,0,0,9,1,5,6,4,1,6,4,1,"2007"
"5810","France",2007,40,"Female",0,3,1,0,7,1,6,7,6,3,9,7,0,"2007"
"6010","France",2007,69,"Male",1,1,0,0,4,0,3,7,3,2,4,3,0,"2007"
"6110","France",2007,59,"Female",0,5,1,0,9,0,4,5,4,4,3,6,0,"2007"
"6210","France",2007,59,"Female",0,3,1,0,8,0,6,7,3,2,8,6,0,"2007"
"6310","France",2007,45,"Male",1,5,0,0,9,0,2,1,2,1,4,3,0,"2007"
"6510","France",2007,41,"Female",0,2,0,0,10,0,8,7,3,3,9,6,0,"2007"
"6610","France",2007,28,"Male",1,3,1,0,3,1,4,5,3,2,6,5,0,"2007"
"6710","France",2007,47,"Female",0,5,1,0,4,0,7,9,7,1,3,8,0,"2007"
"6810","France",2007,47,"Male",1,3,0,0,6,1,4,7,5,1,6,3,0,"2007"
"7110","France",2007,77,"Female",0,1,0,0,6,0,6,6,5,2,10,6,0,"2007"
"7210","France",2007,64,"Female",0,2,0,0,3,0,6,9,6,5,6,1,0,"2007"
"7510","France",2007,56,"Female",0,1,1,1,4,1,6,7,5,5,7,5,0,"2007"
"7610","France",2007,36,"Female",0,3,0,0,8,0,8,8,6,3,9,5,0,"2007"
"7710","France",2007,58,"Female",0,3,1,0,8,0,8,9,8,1,7,6,0,"2007"
"7810","France",2007,67,"Male",1,5,0,0,10,0,1,12,5,5,1,1,0,"2007"
"7910","France",2007,54,"Female",0,2,0,0,3,1,4,5,4,2,4,4,0,"2007"
"8210","France",2007,28,"Male",1,5,1,0,7,0,3,1,4,1,3,4,0,"2007"
"8310","France",2007,63,"Female",0,3,0,0,9,0,4,7,4,3,8,4,0,"2007"
"8410","France",2007,60,"Male",1,1,0,0,8,0,8,7,5,2,8,6,0,"2007"
"8510","France",2007,44,"Female",0,5,0,0,5,1,1,12,1,1,2,4,0,"2007"
"8710","France",2007,81,"Female",0,1,0,0,2,1,1,1,1,3,5,1,0,"2007"
"8810","France",2007,87,"Male",1,1,0,0,2,0,5,7,5,2,4,1,0,"2007"
"9310","France",2007,22,"Female",0,3,0,1,3,0,1,9,1,5,6,1,0,"2007"
"9510","France",2007,40,"Female",0,5,1,0,8,1,2,7,3,5,4,3,0,"2007"
"9710","France",2007,35,"Male",1,1,0,0,7,1,5,6,3,3,4,2,0,"2007"
"9810","France",2007,57,"Male",1,5,0,0,3,1,1,4,3,2,3,6,0,"2007"
"10010","France",2007,25,"Male",1,3,0,0,7,1,5,7,5,2,9,5,0,"2007"
"10110","France",2007,53,"Female",0,3,1,0,1,0,4,8,3,3,5,6,0,"2007"
"10410","France",2007,68,"Female",0,1,0,1,3,1,4,9,5,4,4,2,0,"2007"
"10510","France",2007,57,"Male",1,3,0,1,1,0,6,6,5,3,6,8,0,"2007"
"10710","France",2007,76,"Male",1,1,0,0,2,1,9,11,3,1,9,5,0,"2007"
"11110","France",2007,54,"Male",1,5,0,0,9,0,8,10,4,4,9,8,0,"2007"
"11210","France",2007,45,"Female",0,3,0,0,9,1,3,5,3,3,6,4,0,"2007"
"11310","France",2007,20,"Female",0,3,0,0,1,0,4,6,4,1,4,5,0,"2007"
"11410","France",2007,56,"Male",1,3,1,0,6,0,7,9,6,5,7,5,0,"2007"
"11510","France",2007,51,"Female",0,1,1,0,9,1,8,11,3,2,9,8,0,"2007"
"11610","France",2007,35,"Female",0,5,1,0,10,0,5,8,5,1,7,3,0,"2007"
"11710","France",2007,18,"Female",0,5,1,0,7,0,1,4,1,1,2,2,0,"2007"
"11810","France",2007,57,"Female",0,3,1,0,6,0,6,11,5,5,6,5,0,"2007"
"11910","France",2007,85,"Male",1,1,1,0,5,0,8,5,4,1,8,6,0,"2007"
"12210","France",2007,46,"Female",0,3,1,0,9,1,6,1,2,5,7,5,0,"2007"
"12310","France",2007,44,"Female",0,3,0,1,8,0,3,7,3,3,4,2,0,"2007"
"12410","France",2007,57,"Male",1,2,0,1,4,0,8,8,4,1,11,4,0,"2007"
"12510","France",2007,42,"Female",0,3,1,0,5,1,5,10,3,1,6,5,0,"2007"
"12610","France",2007,30,"Male",1,5,0,0,10,1,3,8,3,4,8,4,0,"2007"
"12710","France",2007,80,"Male",1,2,1,1,4,1,2,1,2,1,6,3,0,"2007"
"12810","France",2007,26,"Female",0,5,0,0,5,1,7,10,4,1,6,5,0,"2007"
"13010","France",2007,49,"Male",1,5,0,0,9,0,3,9,3,4,3,7,0,"2007"
"13110","France",2007,29,"Female",0,5,0,0,6,0,8,13,4,3,8,8,0,"2007"
"13210","France",2007,30,"Female",0,3,0,0,7,1,5,6,3,2,3,6,0,"2007"
"13410","France",2007,58,"Male",1,3,0,1,6,1,4,5,4,2,6,4,0,"2007"
"13810","France",2007,75,"Female",0,5,0,0,3,0,8,9,8,1,9,7,0,"2007"
"14010","France",2007,49,"Female",0,3,1,0,10,1,9,5,3,1,5,6,0,"2007"
"14110","France",2007,70,"Male",1,1,0,0,7,1,5,7,4,1,6,5,0,"2007"
"14210","France",2007,62,"Male",1,3,0,0,9,1,4,5,5,5,3,6,0,"2007"
"14310","France",2007,27,"Female",0,3,1,0,2,0,4,5,4,3,6,4,0,"2007"
"14410","France",2007,35,"Male",1,5,0,0,7,0,7,7,6,1,7,5,0,"2007"
"14610","France",2007,68,"Male",1,2,0,0,7,0,6,5,6,2,8,1,0,"2007"
"14810","France",2007,70,"Male",1,3,0,0,9,0,5,7,1,2,4,5,0,"2007"
"14910","France",2007,66,"Female",0,2,0,0,4,0,7,8,6,3,9,7,0,"2007"
"15010","France",2007,46,"Male",1,3,1,0,3,0,6,9,3,2,6,4,0,"2007"
"15110","France",2007,85,"Male",1,1,0,1,5,0,6,10,4,1,5,8,0,"2007"
"15210","France",2007,38,"Male",1,3,1,1,9,0,2,5,3,2,6,1,0,"2007"
"15410","France",2007,45,"Female",0,3,1,0,8,1,5,5,5,5,6,6,0,"2007"
"15510","France",2007,33,"Female",0,5,0,0,10,1,8,8,7,3,6,6,0,"2007"
"15610","France",2007,45,"Male",1,3,0,0,9,0,5,6,4,3,4,7,0,"2007"
"15910","France",2007,38,"Female",0,5,0,0,10,0,8,9,6,2,8,6,0,"2007"
"16010","France",2007,45,"Female",0,5,0,0,10,0,8,8,4,2,8,4,0,"2007"
"16210","France",2007,54,"Female",0,2,0,0,9,0,4,5,4,1,5,4,0,"2007"
"16310","France",2007,75,"Female",0,1,0,0,2,0,6,7,6,5,9,8,0,"2007"
"16910","France",2007,24,"Female",0,5,0,0,3,0,2,8,2,5,5,3,0,"2007"
"17010","France",2007,74,"Female",0,3,0,0,4,0,2,4,1,1,3,5,0,"2007"
"17310","France",2007,26,"Male",1,3,1,0,2,0,8,8,8,3,7,9,0,"2007"
"17410","France",2007,25,"Female",0,5,1,0,2,0,5,8,4,1,5,4,0,"2007"
"17710","France",2007,42,"Male",1,3,1,1,1,1,3,4,4,2,6,3,0,"2007"
"17810","France",2007,63,"Female",0,4,0,0,3,1,7,8,2,5,9,6,0,"2007"
"17910","France",2007,50,"Male",1,3,0,0,10,1,7,7,6,1,10,8,0,"2007"
"18010","France",2007,60,"Male",1,3,0,0,7,1,8,7,6,2,8,8,0,"2007"
"18310","France",2007,64,"Male",1,3,1,0,2,0,6,7,2,5,8,7,0,"2007"
"18710","France",2007,31,"Female",0,3,0,0,7,0,6,9,5,3,3,4,0,"2007"
"18810","France",2007,42,"Female",0,3,1,0,8,0,5,8,5,2,4,5,0,"2007"
"19010","France",2007,52,"Male",1,3,1,0,7,0,5,10,6,1,4,6,0,"2007"
"19110","France",2007,64,"Male",1,5,0,0,7,0,1,5,1,3,1,2,0,"2007"
"19210","France",2007,43,"Male",1,3,1,0,6,0,5,7,4,1,8,5,0,"2007"
"19310","France",2007,57,"Female",0,5,0,0,7,0,8,10,5,1,8,5,0,"2007"
"19510","France",2007,31,"Male",1,5,1,0,5,0,1,12,3,4,1,3,0,"2007"
"19710","France",2007,30,"Male",1,5,0,0,4,0,1,5,3,4,4,3,0,"2007"
"19810","France",2007,37,"Male",1,2,1,0,2,0,3,4,2,1,7,6,0,"2007"
"20010","France",2007,68,"Female",0,3,0,0,6,0,6,6,4,1,6,7,0,"2007"
"20110","France",2007,60,"Male",1,3,0,0,5,0,7,6,5,2,6,6,0,"2007"
"20210","France",2007,64,"Female",0,1,0,0,3,0,5,7,5,4,6,4,0,"2007"
"20410","France",2007,78,"Male",1,1,0,1,2,1,6,7,5,5,5,7,0,"2007"
"20610","France",2007,28,"Female",0,3,1,0,10,0,6,5,5,2,8,7,0,"2007"
"2081","France",2007,74,"Male",1,3,0,0,5,0,1,1,1,2,5,3,0,"2007"
"2091","France",2007,47,"Male",1,5,1,0,4,0,5,6,7,4,9,2,0,"2007"
"2111","France",2007,39,"Female",0,3,0,1,8,0,8,9,6,5,6,4,1,"2007"
"2121","France",2007,26,"Male",1,5,1,0,4,0,4,7,4,4,4,9,0,"2007"
"2131","France",2007,56,"Female",0,2,0,0,5,0,1,12,4,1,2,3,0,"2007"
"2171","France",2007,22,"Female",0,5,0,0,5,0,6,5,4,5,6,6,0,"2007"
"2191","France",2007,59,"Female",0,5,0,0,9,0,9,10,6,1,8,7,0,"2007"
"2201","France",2007,59,"Male",1,5,0,0,7,1,5,6,2,4,6,6,0,"2007"
"2231","France",2007,48,"Female",0,2,1,1,6,1,4,4,1,4,6,3,0,"2007"
"2251","France",2007,85,"Male",1,5,0,0,8,0,3,5,3,3,4,2,0,"2007"
"2261","France",2007,38,"Male",1,3,1,1,3,0,5,7,5,4,6,7,0,"2007"
"2291","France",2007,83,"Male",1,2,0,0,5,0,10,11,8,1,8,6,0,"2007"
"2301","France",2007,22,"Female",0,5,0,0,9,0,7,8,6,4,8,7,0,"2007"
"2321","France",2007,41,"Male",1,3,0,0,5,1,6,8,6,4,7,6,0,"2007"
"2331","France",2007,52,"Female",0,3,1,0,5,0,1,4,4,5,4,2,0,"2007"
"2341","France",2007,46,"Female",0,5,1,0,10,0,2,8,4,5,4,7,0,"2007"
"2361","France",2007,77,"Male",1,3,0,0,7,1,9,10,6,2,11,8,0,"2007"
"2371","France",2007,51,"Male",1,3,1,1,1,0,6,10,3,1,6,1,1,"2007"
"2381","France",2007,31,"Female",0,5,0,0,9,1,3,4,4,3,4,3,0,"2007"
"2401","France",2007,48,"Female",0,3,0,0,6,1,4,6,3,2,4,6,0,"2007"
"2411","France",2007,28,"Male",1,5,0,1,5,1,8,9,5,2,9,6,0,"2007"
"2421","France",2007,57,"Female",0,3,0,0,2,1,6,5,3,2,9,5,0,"2007"
"2431","France",2007,37,"Male",1,5,0,0,9,0,6,10,5,1,7,7,0,"2007"
"2451","France",2007,40,"Female",0,5,0,0,7,1,5,9,3,4,6,5,0,"2007"
"2481","France",2007,59,"Male",1,3,0,0,6,1,7,5,7,1,7,7,0,"2007"
"2531","France",2007,30,"Male",1,3,1,0,3,1,9,7,7,3,8,6,0,"2007"
"2561","France",2007,68,"Male",1,1,1,0,6,0,8,5,3,2,11,4,0,"2007"
"2581","France",2007,48,"Male",1,2,0,0,9,0,6,9,4,5,8,3,0,"2007"
"2601","France",2007,67,"Female",0,5,0,0,9,0,9,8,3,2,9,6,0,"2007"
"2611","France",2007,45,"Female",0,2,1,0,8,0,3,4,1,2,3,4,0,"2007"
"2661","France",2007,37,"Male",1,5,1,0,10,0,3,5,6,3,5,5,0,"2007"
"2671","France",2007,59,"Female",0,5,0,0,6,0,5,8,4,1,3,10,0,"2007"
"2721","France",2007,51,"Male",1,3,0,0,6,0,6,6,5,4,5,4,0,"2007"
"2731","France",2007,58,"Female",0,1,1,0,5,0,10,11,5,4,8,9,0,"2007"
"2761","France",2007,78,"Male",1,1,0,0,4,1,6,7,2,2,10,3,0,"2007"
"2791","France",2007,55,"Female",0,3,0,0,9,1,5,4,4,1,4,1,0,"2007"
"2801","France",2007,62,"Female",0,5,1,0,1,1,6,7,11,5,8,1,0,"2007"
"2831","France",2007,48,"Male",1,5,1,0,10,0,4,5,5,3,4,7,0,"2007"
"2851","France",2007,43,"Female",0,3,0,0,9,0,6,7,6,2,7,3,0,"2007"
"2911","France",2007,82,"Male",1,1,0,0,7,0,6,10,4,2,6,3,0,"2007"
"2921","France",2007,33,"Female",0,2,1,1,5,0,6,7,5,1,3,5,0,"2007"
"2931","France",2007,55,"Male",1,3,0,0,7,1,8,9,8,1,9,5,0,"2007"
"2941","France",2007,63,"Female",0,3,0,0,8,0,6,7,4,2,8,5,0,"2007"
"2961","France",2007,41,"Male",1,3,1,0,8,0,6,9,6,3,6,6,0,"2007"
"2981","France",2007,54,"Male",1,3,1,0,8,1,9,10,8,5,7,5,0,"2007"
"2991","France",2007,86,"Male",1,5,0,0,5,1,3,7,2,2,6,2,0,"2007"
"3001","France",2007,59,"Male",1,1,1,1,6,0,5,6,4,2,6,7,0,"2007"
"3011","France",2007,30,"Female",0,5,0,0,8,1,5,9,3,1,9,8,0,"2007"
"3021","France",2007,68,"Male",1,1,1,0,5,1,6,9,6,1,8,3,0,"2007"
"3051","France",2007,64,"Male",1,3,0,0,6,0,3,5,3,3,3,5,0,"2007"
"3081","France",2007,40,"Female",0,3,1,0,8,0,6,7,5,2,5,6,0,"2007"
"3101","France",2007,65,"Female",0,3,0,0,9,1,2,5,2,1,1,3,0,"2007"
"3111","France",2007,67,"Male",1,3,1,0,1,0,7,8,3,1,4,6,0,"2007"
"3121","France",2007,78,"Female",0,1,0,0,4,1,1,12,1,2,6,3,0,"2007"
"3131","France",2007,63,"Male",1,5,0,0,9,0,7,10,4,2,7,5,0,"2007"
"3141","France",2007,61,"Female",0,3,1,0,5,0,5,6,5,1,5,5,0,"2007"
"3151","France",2007,54,"Female",0,2,1,0,4,0,4,7,4,1,8,5,0,"2007"
"3161","France",2007,49,"Male",1,3,1,1,2,1,8,7,1,1,11,6,0,"2007"
"3191","France",2007,27,"Female",0,3,1,0,4,0,4,7,3,4,1,5,0,"2007"
"3201","France",2007,62,"Male",1,3,0,1,7,0,6,1,3,1,2,8,0,"2007"
"3211","France",2007,23,"Female",0,5,0,0,8,1,4,6,3,2,6,3,0,"2007"
"3241","France",2007,45,"Female",0,5,1,1,6,0,3,6,3,1,2,6,0,"2007"
"3251","France",2007,70,"Male",1,3,0,0,10,0,9,10,4,2,10,5,0,"2007"
"3271","France",2007,54,"Male",1,5,0,0,10,0,10,11,8,1,9,6,0,"2007"
"3291","France",2007,38,"Female",0,5,0,0,6,0,5,6,5,2,6,4,0,"2007"
"3301","France",2007,45,"Male",1,3,1,1,5,1,1,4,2,1,5,1,0,"2007"
"3361","France",2007,70,"Male",1,1,0,1,6,0,2,7,3,1,4,3,0,"2007"
"3401","France",2007,44,"Female",0,3,1,0,9,1,4,5,5,3,6,5,0,"2007"
"3411","France",2007,33,"Female",0,5,0,0,8,1,8,10,8,5,7,7,0,"2007"
"3421","France",2007,39,"Male",1,3,1,1,8,1,5,6,3,2,6,6,0,"2007"
"3461","France",2007,37,"Female",0,5,0,0,3,0,2,7,3,5,9,1,0,"2007"
"3481","France",2007,42,"Female",0,3,0,1,3,0,6,5,4,2,6,6,0,"2007"
"3491","France",2007,41,"Female",0,3,1,1,9,0,7,7,5,1,8,6,0,"2007"
